1,Butterfly Milkweed,Asclepias tuberosa,ASTU
2,Swamp Milkweed,Asclepias incarnata,ASIN
3,Poke Milkweed,Asclepias exaltata,ASEX
4,Pinewoods Milkweed,Asclepias humistrata,
5,Showy Milkweed,Asclepias speciosa,ASSP
6,Whorled Milkweed,Asclepias verticillata,ASVE
7,Common Milkweed,Asclepias syriaca,ASSY
8,Purple Milkweed,Asclepias purpurascens,ASPU2
9,Wavy Leaved Milkweed,Asclepias amplexicaulis,ASAM
10,Prairie Milkweed,Asclepias sullivantii,ASSU3
11,Tall Green Milkweed,Asclepias hirtella,ASHI
12,Red Milkweed,Asclepias rubra,ASRU
13,Green Antelopehorn,Asclepias viridis,ASVI2
14,Oval-leaf Milkweed,Asclepias ovalifolia,ASOV
15,Plains Milkweed,Asclepias pumila,ASPU1
16,Short Green Milkweed,Asclepias viridiflora,ASVI1
17,Texas Milkweed,Asclepias texana,
18,Narrow-leaved Milkweed,Asclepias fascicularis,ASFA
19,Spider Milkweed,Asclepias asperula ssp. asperula,ASASA
20,Antelope Horns,Asclepias asperula ssp. capricornu,ASASC
21,Heartleaf Milkweed,Asclepias cordifolia,ASCO
22,Woollypod Milkweed,Asclepias eriocarpa,ASER
23,Broadleaf Milkweed,Asclepias latifolia,
24,Pineleaf Milkweed,Asclepias linaria,
25,Woolly Milkweed,Asclepias vestita,
